TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Diploneis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pyrocystis lunula,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pyrocystis noctiluca,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Ditylum brightwellii < 40 µm width,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Euglena spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Eutreptiella spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Flagellate <10 µm fusiform,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Flagellate <10 µm round,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gossleriella tropica,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Grammatophora spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Guinardia cylindrus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Guinardia flaccida <150 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gymnodinioid dinoflagellate,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gyrodinium spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Helicotheca spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Heterosigma spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Karenia spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Lauderia annulata < 70 µm length,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Leptocylindrus danicus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Leptocylindrus minimus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Licmophora spp. < 150 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Membraneis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Mesodinium rubrum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Meuniera membranacea,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula septentrionalis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Navicula spp.,2008-09-29,,,
Nitzschia closterium - INVALID use Ceratoneis closterium,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Oxytoxum laticeps,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Planktoniella spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Porosira spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Prasinophytes,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Prorocentrum cf. micans,2008-09-29,,,
Prorocentrum concavum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Protoperidinium oceanicum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Protoperidinium pellucidum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Prymnesiophytes,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
