SAMPLE,DEPTH_M,SST,CHLA
321-13,-4789.929268,11.81,0.310355335
321-64,0.1121,9.34,0.176559016
302-89,-128.7975,19.6,0.182888076
316-45,-4424.056875,11.46,0.252692133
330-37,-103.83625,17.36,0.286665082
408-33,-5564.706875,15.9440908,0.145412207
304-89,-128.480625,17.77,0.368277997
139-62,0.1121,(null),(null)
150-11,0.1121,(null),(null)
150-35,0.1121,3.4997855,(null)
150-78,0.1121,(null),(null)
140-19,-4165.80435,3.2468688,(null)
140-26,-4091.387556,3.3783966,(null)
141-40,0.1121,(null),(null)
325-49,-4691.951875,18.02,0.120389573
147-36,-2935.224363,5.96,0.12582767
147-38,-3002.530913,6.04,0.12215402
147-78,0.1121,9.99,0.149811566
155-28,0.1121,5.63,0.116101012
157-50,0.1121,2.79,0.191070616
160-1,0.1121,2.52,0.294897109
160-34,-4351.173631,3.03,0.16567187
161-83,-4296.399388,7.05,0.138590306
164-13,-4314.141406,5.08,(null)
62-13,-203.8081438,24.59,0.15590094
77-61,-1112.86336,19.02,0.420067042
68-37,-2504.979788,13.6,0.4298895
77-73,-56.195625,17.27,0.500850618
12-13,-639.0157875,25.51,0.345075905
52-9,0.1121,14.08,0.236808687
192-37,-4743.210313,15.15,0.295831472
83-9,-1156.979513,22.59,0.130186841
86-26,0.1121,10.25,0.154982239
89-1,0.1121,9.95,0.140269518
358-65,-127.455625,17.591313,0.777896285
149-38,-3093.023706,6.2682576,(null)
166-26,0.1121,3.01,0.128868297
207-79,0.1121,9.26,(null)
215-1,-3202.303169,11.74,0.350022495
220-36,-4361.372888,0.84,0.209527612
149-43,-2911.268969,5.9846465,(null)
139-24,0.1121,(null),(null)
149-89,-3626.258269,4.1524244,(null)
141-54,0.1121,(null),(null)
139-18,0.1121,2.5981883,(null)
45-1,0.1121,19.44,0.199894696
7-1,-20.8058875,22.93,0.871572673
7-53,-1606.200794,22.95,0.381914049
6-49,-742.7246313,14.78,0.60983777
67-20,0.1121,14.11,0.182508156
177-33,-2226.980419,20.36,0.215452939
19-1,-519.5793188,22.59,0.320460111
19-25,-2962.701038,22.88,0.151210278
89-8,0.1121,7.43,0.13970238
176-49,-1738.6569,25.53,0.142271072
221-35,0.1121,12.97,0.181588367
98-26,-81.26625,22.5517295,(null)
108-66,-66.771875,15.7443685,(null)
398-69,-36.509375,24.5711739,0.186237693
100-34,-3232.309375,19.4199935,(null)
100-58,-796.190625,16.5499935,(null)
100-66,-195.019375,15.9699935,(null)
108-50,-147.429375,18.5499935,(null)
